GFP;RFP;Condition;ratio_mut_over_wt_g0;ratio_mut_over_wt_g10;ratio_mut_over_wt_g20;ratio_mut_over_wt_g30;selection_coefficient;Kpn_abundance_g0;Kpn_abundance_g10;Kpn_abundance_g20;Kpn_abundance_g30
wt;wt;MB002;0,854166666666667;0,789719626168224;0,742105263157895;0,690265486725664;-0,00000407902517433716;7,12;3,83;3,31;1,91
wt;wt;MB002;0,870324189526185;0,816964285714286;0,745454545454545;0,711864406779661;0,0000639294155443072;7,5;4,07;2,88;2,02
wt;wt;MB002;0,854066985645933;0,767955801104972;0,726114649681529;0,677966101694915;-0,000478321533350735;7,75;3,2;2,71;1,98
wt;wt;MB002;0,852731591448931;0,83695652173913;0,795620437956204;0,719626168224299;0,00141140331977619;7,8;3,38;2,46;1,84
wt;wt;MB002;0,833333333333333;0,769230769230769;0,723529411764706;0,630769230769231;-0,00195801633778875;8,03;2,76;2,93;2,12
wt;wt;MB002;0,907894736842105;0,851674641148325;0,793939393939394;0,717741935483871;-0,000743234069545762;5,8;3,87;2,96;2,13
wt;wt;MB002;0,840978593272171;0,773869346733668;0,764150943396226;0,729508196721312;0,00261704600183534;6,02;3,53;3,74;2,11
wt;wt;MB002;0,878048780487805;0,81651376146789;0,758426966292135;0,666666666666667;-0,00199104076312949;6,16;3,96;3,13;2,35
ompK35;wt;MB002;0,773778920308483;0,493975903614458;0,517766497461929;0,424657534246575;-0,0105204272511885;6,9;3,72;2,99;2,08
ompK35;wt;MB002;0,841397849462366;0,535269709543568;0,5;0,448979591836735;-0,0125149507186531;6,85;3,7;2,7;2,13
ompK35;wt;MB002;0,836585365853659;0,477551020408163;0,425837320574163;0,423076923076923;-0,0145900814193419;7,53;3,62;2,98;1,85
ompK35;wt;MB002;0,778115501519757;0,436734693877551;0,407608695652174;0,337662337662338;-0,0187257487800543;5,85;3,52;2,59;2,06
ompK35;wt;MB002;0,866013071895425;0,450617283950617;0,450261780104712;0,39568345323741;-0,0164971653088171;5,71;2,35;2,77;1,94
ompK35;wt;MB002;0,87459807073955;0,502415458937198;0,532894736842105;0,495726495726496;-0,00943394584530539;5,83;3,11;2,33;1,75
wt;ompK35;MB002;1,21649484536082;1,03296703296703;1,10526315789474;1,05084745762712;-0,0123309292554251;4,67;3,23;2,67;2,02
wt;ompK35;MB002;0,931952662721893;0,767241379310345;0,755102040816327;0,708333333333333;-0,0170066124687282;5,79;3,61;2,54;2,01
wt;ompK35;MB002;1;0,80365296803653;0,794117647058824;0,881578947368421;-0,0125166908039719;6,1;3,8;3,14;1,73
