GFP;RFP;Condition;ratio_mut_over_wt_g0;ratio_mut_over_wt_g10;ratio_mut_over_wt_g20;ratio_mut_over_wt_g30;selection_coefficient;Kpn_abundance_g0;Kpn_abundance_g10;Kpn_abundance_g20;Kpn_abundance_g30
wt;wt;MB006;0,908579465541491;0,83921568627451;0,773913043478261;0,7;0,000408733355120402;13,57;4,69;2,04;1,36
wt;wt;MB006;0,807807807807808;0,732342007434944;0,686274509803921;0,621052631578947;0,000505926854411441;12,04;4,66;1,72;1,54
wt;wt;MB006;0,85551948051948;0,809968847352025;0,741496598639456;0,681818181818182;0,00135124893533906;11,43;5,81;2,56;1,48
wt;wt;MB006;0,877049180327869;0,8125;0,721739130434783;0,648351648351648;-0,00120554095046893;11,45;5,51;1,98;1,5
ompK35;wt;MB006;0,73224043715847;0,641732283464567;0,56989247311828;0,493506493506494;-0,0039815462333887;9,51;4,17;1,46;1,15
ompK35;wt;MB006;0,700179533213644;0,665505226480836;0,601503759398496;0,535714285714286;-0,00000033512882231107;9,47;4,78;2,13;1,29
ompK35;wt;MB006;0,740882917466411;0,686274509803922;0,595744680851064;0,537878787878788;-0,00197806022308646;9,07;4,3;2,25;2,03
ompK35;wt;MB006;0,735238095238095;0,670886075949367;0,619565217391304;0,521739130434783;-0,00204373771581805;9,11;3,96;1,49;1,4
ompK35;wt;MB006;0,726775956284153;0,672862453531599;0,607142857142857;0,526315789473684;-0,00166639784680302;9,48;4,5;1,8;1,16
ompK35;wt;MB006;0,723146747352496;0,65017667844523;0,67032967032967;0,576470588235294;0,0025474956239319;11,39;4,67;1,52;1,34
wt;ompK35;MB006;1,09626719056974;1,1576354679803;1,16326530612245;1,36206896551724;-0,00205477870986621;10,12;4,42;1,49;1,15
wt;ompK35;MB006;1,06876227897839;1,13917525773196;1,27692307692308;1,40909090909091;0,000818683640331525;11,89;4,26;1,04;1,49
wt;ompK35;MB006;0,978369384359401;1,16988416988417;1,23076923076923;1,30487804878049;0,000530563485935002;10,01;4,27;1,85;1,76
wt;ompK35;MB006;1,04512635379061;1,1843137254902;1,27941176470588;1,29268292682927;-0,00146627884549273;11,28;5,49;2,61;1,61
wt;ompK35;MB006;0,983525535420099;1,16287878787879;1,19753086419753;1,24390243902439;-0,00127652083426809;11,01;5,52;1,39;1,7
wt;ompK35;MB006;1,01578947368421;1,14349775784753;1,17647058823529;1,32;-0,000472869785165071;12,92;5,8;2,08;1,76
OXA48;wt;MB006;0,747841105354059;0,607272727272727;0,505050505050505;0,385542168674699;-0,0126765180797487;8,99;4,01;0,95;1,16
OXA48;wt;MB006;0,730713245997089;0,577777777777778;0,464788732394366;0,37962962962963;-0,0127779370973302;9,54;2,93;0,9;1,33
OXA48;wt;MB006;0,740869565217391;0,623574144486692;0,528925619834711;0,419354838709677;-0,00967653697609535;9,6;5,31;1,27;2,42
OXA48;wt;MB006;0,730061349693252;0,609970674486804;0,491428571428571;0,4;-0,0111679873486372;10,68;5,24;1,04;2,26
OXA48;wt;MB006;0,7616;0,652694610778443;0,561797752808989;0,440677966101695;-0,00887001147493294;9,13;4,61;1,25;1,56
OXA48;wt;MB006;0,753052917232022;0,624649859943978;0,507246376811594;0,454545454545455;-0,00818419560791574;5,3;3,02;0,72;1,58
wt;OXA48;MB006;0,709497206703911;0,647058823529412;0,547619047619048;0,473684210526316;-0,0224051537231816;10,67;4,38;1,06;1,37
wt;OXA48;MB006;0,738351254480287;0,868852459016394;0,6;0,627906976744186;-0,0171793757699476;10,53;4,15;1,48;1,59
wt;OXA48;MB006;0,735244519392917;0,625954198473282;0,590163934426229;0,511904761904762;-0,020066814261611;11,89;5,62;1,74;1,89
wt;OXA48;MB006;0,786912751677852;0,738532110091743;0,74468085106383;0,538461538461538;-0,0199152376565509;11,33;5,57;1,55;1,88
wt;OXA48;MB006;0,8;0,725;0,574712643678161;0,522222222222222;-0,0237346803489458;12,04;5,71;1,78;1,84
wt;OXA48;MB006;0,820552147239264;0,71219512195122;0,677966101694915;0,531531531531531;-0,0221351045336723;11,49;4,78;1,11;1,16
KPC2;wt;MB006;0,64954128440367;0,507518796992481;0,338028169014085;0,208333333333333;-0,0291349800774237;9,18;3,36;0,65;0,56
KPC2;wt;MB006;0,597989949748744;0,45771144278607;0,323529411764706;0,198198198198198;-0,0275558055207007;9,7;1,14;0,72;0,7
KPC2;wt;MB006;0,586776859504132;0,435135135135135;0,257425742574257;0,21608040201005;-0,0261761984183163;10,29;4,26;0,97;1,27
KPC2;wt;MB006;0,575221238938053;0,451523545706371;0,316455696202532;0,202127659574468;-0,0258872241517243;10,65;3,79;0,82;1,2
KPC2;wt;MB006;0,571428571428571;0,445141065830721;0,315789473684211;0,228346456692913;-0,0219085425260403;12,24;4,83;1,37;1,37
KPC2;wt;MB006;0,536231884057971;0,391705069124424;0,333333333333333;0,18796992481203;-0,0240193270805867;11,87;3,51;0,99;1,7
wt;KPC2;MB006;0,762684124386252;0,666666666666667;0,483870967741935;0,490196078431373;-0,0250819833758291;10,77;3,8;0,46;0,76
wt;KPC2;MB006;0,837328767123288;0,739644970414201;0,611940298507463;0,490566037735849;-0,0265511721547535;10,73;2,94;1,08;0,79
wt;KPC2;MB006;0,780984719864177;0,700361010830325;0,589041095890411;0,480392156862745;-0,0249256943522403;10,49;4,71;1,16;1,51
wt;KPC2;MB006;0,803603603603604;0,738095238095238;0,611111111111111;0,47887323943662;-0,0260341563727354;10,01;3,65;0,87;1,05
wt;KPC2;MB006;0,818525519848771;0,72265625;0,649122807017544;0,468354430379747;-0,0264376043756767;9,62;4,41;0,94;1,16
wt;KPC2;MB006;0,82129963898917;0,699074074074074;0,6;0,5;-0,025032777850652;10,09;3,67;1,04;1,14
wt;wt;MB007;0,932203389830508;0,846625766871166;0,747663551401869;0,649038461538462;-0,00308322220649459;5,7;3,01;3,74;3,43
wt;wt;MB007;0,915254237288136;0,808743169398907;0,783653846153846;0,717073170731707;0,00138574606385998;6,78;3,31;3,71;3,52
wt;wt;MB007;0,914835164835165;0,798941798941799;0,766666666666667;0,674342105263158;-0,000540944300649099;6,97;3,4;3,18;5,09
wt;wt;MB007;0,873809523809524;0,818181818181818;0,751269035532995;0,692015209125475;0,0011707638611183;7,87;3,6;3,45;4,45
wt;wt;MB007;0,900269541778976;0,808743169398907;0,767441860465116;0,705357142857143;0,00117772068516137;7,05;3,31;3,04;3,82
wt;wt;MB007;0,871473354231975;0,805263157894737;0,788135593220339;0,675925925925926;0,00118356220068706;5,97;3,43;2,11;3,62
wt;wt;MB007;0,811594202898551;0,753424657534247;0,680851063829787;0,622549019607843;0,0000534086769297115;7,5;3,84;3,95;3,31
wt;wt;MB007;0,845714285714286;0,775119617224881;0,736486486486487;0,665354330708661;0,0013144856064719;6,46;3,71;2,57;4,23
wt;wt;MB007;0,853881278538813;0,772727272727273;0,736842105263158;0,682203389830509;0,00181215069771147;8,12;3,9;3,63;3,97
ompK35;wt;MB007;0,644385026737968;0,593457943925234;0,490909090909091;0,437768240343348;-0,00447367128479611;6,15;3,41;3,28;3,35
ompK35;wt;MB007;0,639593908629442;0,5662100456621;0,571984435797665;0,572769953051643;0,00581259359783935;6,46;3,43;4,04;3,35
ompK35;wt;MB007;0,681481481481481;0,633187772925764;0,687763713080169;0,852017937219731;0,0165485441833249;6,81;3,74;4;4,13
ompK35;wt;MB007;0,776595744680851;0,68609865470852;0,693877551020408;0,739130434782609;0,00765098075577184;5,01;3,76;3,32;3,2
ompK35;wt;MB007;0,698795180722892;0,65296803652968;0,662162162162162;0,781115879828326;0,012502403880048;5,64;3,62;2,46;4,15
ompK35;wt;MB007;0,754325259515571;0,657276995305164;0,681481481481481;0,724550898203593;0,00817509208478647;5,07;3,53;2,27;2,88
wt;ompK35;MB007;0,974193548387097;1,04968944099379;1,1231884057971;1,56349206349206;0,00625267393618315;6,24;3,46;3,5;3,11
wt;ompK35;MB007;1,00673400673401;1,07878787878788;1,1864406779661;1,48251748251748;0,00394599357346876;6,55;3,52;3,12;3,24
wt;ompK35;MB007;0,991596638655462;1,14556962025316;1,22463768115942;1,79591836734694;0,00986998192689728;6,8;3,58;3,05;4,15
wt;ompK35;MB007;1,02525252525253;1,21511627906977;1,46341463414634;2,11382113821138;0,0149499670837639;8,31;4,05;2,78;3,31
wt;ompK35;MB007;0,96996996996997;1,06172839506173;1,15789473684211;1,38562091503268;0,00295009898845285;5,75;3,39;2,41;3,61
wt;ompK35;MB007;0,970099667774086;1;1,17355371900826;1,5078125;0,00621474680524492;5,7;3,37;2,44;3,63
OXA48;wt;MB007;0,629242819843342;0,497835497835498;0,411290322580645;0,323404255319149;-0,0128565211396775;5,77;3,42;2,44;3,26
OXA48;wt;MB007;0,613300492610838;0,478991596638655;0,405405405405405;0,306451612903226;-0,0134602032323199;5,64;3,45;2,35;3,09
OXA48;wt;MB007;0,646489104116223;0,516949152542373;0,452380952380952;0,383333333333333;-0,0079921352276315;5,75;3,43;2,71;4,3
OXA48;wt;MB007;0,607350096711799;0,5;0,418367346938775;0,324;-0,0116117326391729;6,45;3,95;2,66;3,7
OXA48;wt;MB007;0,657060518731988;0,493392070484582;0,385057471264368;0,275618374558304;-0,0195202770226301;5,91;3,71;2,42;3,25
OXA48;wt;MB007;0,666666666666667;0,531818181818182;0,469879518072289;0,369811320754717;-0,00989556476476875;5,52;3,52;2,13;3,27
wt;OXA48;MB007;0,641666666666667;0,561576354679803;0,485915492957746;0,395061728395062;-0,0246140480906737;6,12;3,3;2,93;3,23
wt;OXA48;MB007;0,651090342679128;0,582887700534759;0,458333333333333;0,367088607594937;-0,0282114427074777;5,96;3,43;2,58;3,55
wt;OXA48;MB007;0,691666666666667;0,589861751152074;0,524096385542169;0,43984962406015;-0,0233783729095422;7,11;3,39;3,07;5,48
wt;OXA48;MB007;0,712230215827338;0,676724137931035;0,647798742138365;0,703883495145631;-0,00940659671668924;8,02;3,81;3,03;3,83
wt;OXA48;MB007;0,724458204334365;0,638095238095238;0,5;0,532710280373832;-0,0202782951995821;6,56;3,34;2,46;3,65
wt;OXA48;MB007;0,745454545454545;0,61244019138756;0,521428571428571;0,45;-0,0253672972036216;5,93;2,6;2,63;3,21
KPC2;wt;MB007;0,542780748663102;0,390243902439024;0,270833333333333;0,239543726235741;-0,0191701617996436;5,91;3,17;2,11;2,26
KPC2;wt;MB007;0,512064343163539;0,385542168674699;0,298342541436464;0,261224489795918;-0,0137345809521036;5,3;2,96;2,45;3,24
KPC2;wt;MB007;0,509186351706037;0,366533864541833;0,248847926267281;0,197771587743733;-0,0232219223978629;6,09;3,45;2,53;3,83
KPC2;wt;MB007;0,479357798165138;0,334459459459459;0,225806451612903;0,178343949044586;-0,0245687677134908;7,14;3,89;2,62;3,51
KPC2;wt;MB007;0,50765306122449;0,363970588235294;0,247422680412371;0,226415094339623;-0,0190609908683056;5,57;3,44;2,19;3,28
KPC2;wt;MB007;0,491891891891892;0,353846153846154;0,217142857142857;0,197802197802198;-0,0231912045915035;5,76;3,37;2,13;2,61
wt;KPC2;MB007;0,653125;0,552511415525114;0,445714285714286;0,427027027027027;-0,023511706432388;5,29;3,4;2,53;2,64
wt;KPC2;MB007;0,73469387755102;0,692307692307692;0,644736842105263;0,66120218579235;-0,0124898199869849;5,1;3,52;2,5;3,04
wt;KPC2;MB007;0,692546583850932;0,600877192982456;0,505952380952381;0,5;-0,0201086123309121;5,45;3,65;2,53;3,84
wt;KPC2;MB007;0,692090395480226;0,570247933884298;0,457317073170732;0,433497536945813;-0,0248579665308962;5,99;3,8;2,39;2,91
wt;KPC2;MB007;0,687272727272727;0,615;0,496598639455782;0,5;-0,0202982042219139;4,64;3,23;2,2;3,03
wt;KPC2;MB007;0,757097791798107;0,609137055837564;0,525547445255474;0,531914893617021;-0,0206824059365345;5,57;3,17;2,09;2,88
wt;wt;MB008;0,348115299334812;0,289405684754522;0,254480286738351;0,290540540540541;-0,00334268993462707;6,08;4,99;3,5;1,91
wt;wt;MB008;0,162650602409639;0,168564920273349;0,200704225352113;0,214285714285714;0,0133833795509074;5,79;5,13;3,41;2,38
wt;wt;MB008;0,214828897338403;0,197994987468672;0,174545454545455;0,162790697674419;-0,00621477278843274;6,39;4,78;3,23;2,5
wt;wt;MB008;0,0782442748091603;0,0985915492957747;0,116129032258065;0,166666666666667;0,0276890577546016;5,65;4,68;3,46;2,31
wt;wt;MB008;0,0629370629370629;0,0596026490066225;0,0633333333333333;0,0482456140350877;-0,00400070184376998;6,08;4,8;3,19;2,39
wt;wt;MB008;0,0512820512820513;0,048951048951049;0,043859649122807;0,0418181818181818;-0,00385145883607596;5,74;4,5;3,57;2,292
wt;wt;MB008;0,651629072681704;0,602702702702703;0,541832669322709;0,471014492753623;-0,00743517746048072;6,59;5,93;3,87;2,03
wt;wt;MB008;0,951612903225806;0,872909698996655;0,966666666666667;0,725;-0,00377229473240755;6,05;5,6;3,54;2,07
wt;wt;MB008;0,691588785046729;0,659163987138264;0,59825327510917;0,506756756756757;-0,0069313044026429;7,24;5,16;3,66;2,23
wt;wt;MB008;0,670731707317073;0,646496815286624;0,654545454545454;0,496644295302013;-0,00552403730707213;6,85;5,17;3,64;2,23
ompK35;wt;MB008;0,411910669975186;0,420512820512821;0,392156862745098;0,419354838709677;0,00320628693159954;5,69;5,54;3,55;2,2
ompK35;wt;MB008;0,847517730496454;0,875862068965517;0,860215053763441;0,854838709677419;0,00344485901354712;5,21;5,44;3,46;2,3
ompK35;wt;MB008;0,973913043478261;0,867924528301887;0,84180790960452;0,8;-0,00283974830972302;6,81;4,95;3,26;2,34
ompK35;wt;MB008;0,66578947368421;0,642642642642643;0,568464730290456;0,612121212121212;-0,000380701505719638;6,33;5,47;3,78;2,66
ompK35;wt;MB008;0,658792650918635;0,713815789473684;0,75;0,901960784313725;0,0132864383602424;6,32;5,21;3,71;2,91
ompK35;wt;MB008;0,431372549019608;0,434782608695652;0,425925925925926;0,48314606741573;0,0065616902961348;6,57;5,28;3,85;2,64
wt;ompK35;MB008;1,2603550295858;1,6981981981982;1,55172413793103;2,05263157894737;0,00511375508861063;9,19;5,72;3,29;2,02
wt;ompK35;MB008;0,996688741721854;1,21951219512195;1,11413043478261;1,31858407079646;-0,00112361991494692;6,26;5;2,17;2,17
wt;ompK35;MB008;0,829971181556196;1,02222222222222;1,02747252747253;1,43269230769231;0,007812711490264;7,53;4,96;3,4;2,24
wt;ompK35;MB008;0,960954446854664;1,05263157894737;1,00975609756098;1,11111111111111;-0,00467629108310186;7,2;5,26;3,73;2,51
wt;ompK35;MB008;1,30208333333333;1,56872037914692;1,51552795031056;2,23809523809524;0,0072887147898664;7,75;5,09;3,43;2,46
wt;ompK35;MB008;1,66079295154185;1,93478260869565;1,80575539568345;2,6986301369863;0,00525720391749401;6,39;4,75;3,38;2,3
OXA48;wt;MB008;0,479871175523349;0,448101265822785;0,28515625;0,2625;-0,0192507281423983;8,39;6,13;3,83;2,35
OXA48;wt;MB008;0,462616822429907;0,329787234042553;0,339506172839506;0,172972972972973;-0,0258553788305786;7,83;5,08;3,48;1,94
OXA48;wt;MB008;0,335106382978723;0,224691358024691;0,160409556313993;0,108910891089109;-0,0337204250819953;5,61;5,3;3,87;2,78
OXA48;wt;MB008;0,38728323699422;0,273607748184019;0,187898089171975;0,135746606334842;-0,0318418584066899;6,93;5,29;3,62;2,15
OXA48;wt;MB008;0,591375770020534;0,398351648351648;0,261029411764706;0,171428571428571;-0,0380084795065146;6,84;4,92;3,61;2,57
OXA48;wt;MB008;0,621827411167513;0,443768996960486;0,285171102661597;0,223404255319149;-0,0317654476563334;5,21;4,66;3,21;2,17
wt;OXA48;MB008;0,47808764940239;0,450292397660819;0,366935483870968;0,423728813559322;-0,0142842336694011;7,64;5,99;3,7;2,32
wt;OXA48;MB008;0,731117824773414;0,610714285714286;0,409638554216867;0,305555555555556;-0,0387829407970355;6,03;5,46;3,89;2,62
wt;OXA48;MB008;0,953416149068323;0,98728813559322;0,831578947368421;0,962962962962963;-0,0100335627162813;6,35;4,55;3,69;2,53
wt;OXA48;MB008;0,477223427331887;0,354838709677419;0,252279635258359;0,175879396984925;-0,0419729500493199;9,04;5,46;4,12;2,66
wt;OXA48;MB008;0,840579710144927;0,716723549488055;0,573275862068966;0,591240875912409;-0,0214053899033711;6,63;5,42;4,05;2,72
wt;OXA48;MB008;0,661490683229814;0,643122676579926;0,480314960629921;0,583333333333333;-0,0153071579375195;6,04;5,4;3,9;2,7
KPC2;wt;MB008;0,525454545454546;0,47710843373494;0,311643835616438;0,25668449197861;-0,022384218923819;7,42;4,96;3,39;1,68
KPC2;wt;MB008;0,482954545454545;0,358288770053476;0,260869565217391;0,190184049079755;-0,0277640056122761;5,73;4,51;3,51;1,88
KPC2;wt;MB008;0,65;0,582089552238806;0,465909090909091;0,463157894736842;-0,00902637837950852;6,29;4,69;3,48;2,12
KPC2;wt;MB008;0,702702702702703;0,524495677233429;0,360902255639098;0,264705882352941;-0,0296606478108419;6,81;4,2;4,12;2,34
KPC2;wt;MB008;0,722921914357683;0,597402597402597;0,473469387755102;0,435754189944134;-0,0141446377541335;6,35;5,03;3,65;2,18
KPC2;wt;MB008;1,04313725490196;0,778625954198473;0,565853658536585;0,446666666666667;-0,0252701263176965;5,35;4,42;3,76;2,28
wt;KPC2;MB008;0,669291338582677;0,588850174216028;0,530516431924883;0,451851851851852;-0,0214452709292868;6,36;4,56;3,26;1,96
wt;KPC2;MB008;1,05182926829268;0,961538461538461;0,645299145299145;0,553030303030303;-0,031890514295227;6,73;4,59;3,85;2,05
wt;KPC2;MB008;1,08963585434174;1,11659192825112;1,01307189542484;1,14563106796116;-0,00808568700163728;7,46;4,72;3,08;2,21
wt;KPC2;MB008;0,732758620689655;0,624137931034483;0,518218623481781;0,414893617021277;-0,0275396777944421;8,04;4,71;3,75;2,66
wt;KPC2;MB008;0,618384401114206;0,615894039735099;0,595121951219512;0,728571428571429;-0,004039933927482;5,81;4,88;3,27;2,42
wt;KPC2;MB008;0,766826923076923;0,813229571984436;0,696078431372549;0,780487804878049;-0,00964188116474649;7,35;4,66;3,46;2,19
wt;wt;MB009;1,14516129032258;1,02654867256637;1;0,473684210526316;-0,00981645948345123;5,32;2,29;0,38;0,14
wt;wt;MB009;0,865384615384615;0,789855072463768;0,857142857142857;0,464285714285714;-0,000934305430786413;5,82;2,47;0,39;0,123
wt;wt;MB009;0,671232876712329;0,613793103448276;0,789473684210526;0,407894736842105;0,00450223721862179;4,88;2,34;0,34;0,107
wt;wt;MB009;1,51612903225806;1,47058823529412;2;0,938775510204082;0,00562302908736864;6,24;2,52;0,33;0,095
wt;wt;MB009;0,965648854961832;0,822033898305085;0,681818181818182;0,452380952380952;-0,00769009373015641;5,15;2,15;0,37;0,122
wt;wt;MB009;0,581881533101045;0,556521739130435;0,6;0,230769230769231;-0,0100648646958586;4,54;1,79;0,224;0,096
wt;wt;MB009;0,776951672862453;0,716129032258065;0,769230769230769;0,549450549450549;0,0072498863631263;4,78;2,66;0,46;0,141
wt;wt;MB009;0,795379537953795;0,75;0,793103448275862;0,427272727272727;-0,00115474112268239;5,44;3,08;0,52;0,157
wt;wt;MB009;0,657142857142857;0,625730994152047;0,666666666666667;0,474226804123711;0,00777558510098753;5,22;2,78;0,45;0,143
wt;wt;MB009;0,745098039215686;0,723404255319149;0,863636363636364;0,464285714285714;0,00450972669283076;4,45;2,43;0,41;0,123
ompK35;wt;MB009;0,603550295857988;0,473118279569892;0,333333333333333;0,254545454545455;-0,0124741618584011;5,42;2,74;0,48;0,138
ompK35;wt;MB009;0,536873156342183;0,416184971098266;0,314285714285714;0,22680412371134;-0,0117301652220532;5,21;2,45;0,46;0,119
ompK35;wt;MB009;0,26791277258567;0,251366120218579;0,202857142857143;0,118181818181818;-0,00976883959924696;4,07;2,29;0,421;0,123
ompK35;wt;MB009;0,349246231155779;0,28735632183908;0,215151515151515;0,130952380952381;-0,0153937473977818;5,37;2,24;0,401;0,095
ompK35;wt;MB009;0,509661835748792;0,390243902439024;0,3125;0,206521739130435;-0,0123935663241297;6,25;2,28;0,42;0,111
ompK35;wt;MB009;0,702031602708804;0,448717948717949;0,5;0,293478260869565;-0,0081547486936796;7,54;2,26;0,39;0,119
wt;ompK35;MB009;0,955271565495208;0,871951219512195;0,807692307692308;1,35802469135802;0,00117209188196951;7,19;3,22;0,639;0,221
wt;ompK35;MB009;0,814685314685315;0,769662921348315;0,485714285714286;0,909090909090909;-0,0099301355449737;4,94;2,52;0,479;0,13537
wt;ompK35;MB009;0,892988929889299;0,801369863013699;0,48;0,75;-0,0189765041523353;6,7;2,96;0,517;0,169
wt;ompK35;MB009;0,983957219251337;0,95;0,653846153846154;1,31578947368421;-0,00363371778613246;5,05;2,2;0,385;0,10836
wt;ompK35;MB009;0,930555555555555;0,853658536585366;0,608695652173913;0,823529411764706;-0,0156637141942422;5,62;2,39;0,378;0,10585
wt;ompK35;MB009;1,16058394160584;0,927083333333333;0,55;1,22222222222222;-0,0122849391568741;6,35;2,37;0,353;0,10245
OXA48;wt;MB009;0,302536231884058;0,175182481751825;0,121052631578947;0,0523809523809524;-0,039377407273992;7,27;2,97;0,62;0,201
OXA48;wt;MB009;0,353424657534247;0,223300970873786;0,113953488372093;0,0413076923076923;-0,0541975881089023;4,87;2,99;0,457;0,139
OXA48;wt;MB009;0,515837104072398;0,275862068965517;0,175;0,126666666666667;-0,0297497509664342;6,82;2,43;0,411;0,159
OXA48;wt;MB009;0,534954407294833;0,333333333333333;0,203125;0,0836;-0,0437089934119457;5,15;2,68;0,321;0,126
OXA48;wt;MB009;0,437340153452685;0,25130890052356;0,145454545454545;0,0585;-0,0488903668467052;6,12;2,26;0,279;0,12
OXA48;wt;MB009;0,511904761904762;0,274193548387097;0,176666666666667;0,0898936170212766;-0,0396526838784048;5,06;2,1;0,302;0,097
wt;OXA48;MB009;0,639664804469274;0,447513812154696;0,333333333333333;0,464788732394366;-0,0211425940413746;6,12;3,07;0,47;0,191
wt;OXA48;MB009;0,697068403908795;0,502958579881657;0,27027027027027;0,353658536585366;-0,0351835140923234;5,19;3,15;0,52;0,147
wt;OXA48;MB009;0,673306772908367;0,5;0,288461538461538;0,473684210526316;-0,0246663786366142;5,13;2,63;0,37;0,14
wt;OXA48;MB009;0,554166666666667;0,436241610738255;0,194594594594595;0,4;-0,0264689165471176;3,71;2,73;0,43;0,132
wt;OXA48;MB009;0,493333333333333;0,417582417582418;0,261904761904762;0,403508771929824;-0,0193107254561209;4,17;2,28;0,37;0,124
wt;OXA48;MB009;0,829145728643216;0,602739726027397;0,328571428571429;0,5;-0,029857057019758;2,96;1,85;0,31;0,1
KPC2;wt;MB009;0,928381962864722;0,563157894736842;0,409090909090909;0,182352941176471;-0,0350928413159697;5,87;2,62;0,44;0,104
KPC2;wt;MB009;0,64527027027027;0,465686274509804;0,269444444444444;0,158333333333333;-0,0306921405718939;5,21;2,54;0,47;0,111
KPC2;wt;MB009;0,498901098901099;0,342541436464088;0,245454545454545;0,135714285714286;-0,0254601287395907;4,2;2,01;0,335;0,084
KPC2;wt;MB009;0,584615384615385;0,425531914893617;0,284;0,145454545454545;-0,0288480120728678;3,73;2,14;0,442;0,119
KPC2;wt;MB009;0,967845659163987;0,547945205479452;0,395;0,224489795918367;-0,0301818055516402;3,36;1,29;0,265;0,08
KPC2;wt;MB009;0,571428571428571;0,381578947368421;0,258333333333333;0,154761904761905;-0,0261598588280787;3,64;1,17;0,279;0,069
wt;KPC2;MB009;0,700757575757576;0,6015625;0,434782608695652;0,596774193548387;-0,0166816485774541;4,49;2,05;0,33;0,099
wt;KPC2;MB009;0,798611111111111;0,609929078014184;0,428571428571429;0,474358974358974;-0,0277722548863801;5,18;2,27;0,4;0,115
wt;KPC2;MB009;1,028;0,88785046728972;0,571428571428571;0,785714285714286;-0,0210860651050126;5,07;2,02;0,33;0,1
wt;KPC2;MB009;0,89419795221843;0,64957264957265;0,48;0,9;-0,0114473680565196;5,55;1,93;0,37;0,095
wt;KPC2;MB009;0,565737051792829;0,416;0,361904761904762;0,743589743589744;-0,00180834969425827;3,93;1,77;0,286;0,068
wt;KPC2;MB009;0,639484978540772;0,471153846153846;0,470588235294118;2,94444444444444;0,0371822471460535;3,82;1,53;0,25;0,071
wt;wt;MB010;0,242718446601942;0,238482384823848;0,23021582733813;0,230769230769231;0,00567270702082384;5,12;4,57;1,71;0,8
wt;wt;MB010;0,160839160839161;0,143540669856459;0,136125654450262;0,122077922077922;-0,00126275355316391;4,98;4,78;2,17;0,864
wt;wt;MB010;0,176315789473684;0,172268907563025;0,131428571428571;0,146666666666667;-0,000689351541056164;4,47;5,58;1,98;0,86
wt;wt;MB010;0,0638820638820639;0,0598086124401914;0,0497326203208556;0,0518987341772152;-0,000537206838987558;4,33;4,43;1,963;0,831
wt;wt;MB010;0,0596205962059621;0,0605263157894737;0,0502923976608187;0,0444444444444444;-0,00312507052889401;3,91;4,03;1,796;0,846
wt;wt;MB010;0,0851735015772871;0,0751445086705202;0,0673758865248227;0,060655737704918;-0,00373553645538969;3,44;3,72;1,505;0,647
wt;wt;MB010;0,73421926910299;0,726973684210526;0,637096774193548;0,615384615384615;0,000923511482457251;5,22;5,25;2,03;0,84
wt;wt;MB010;0,878228782287823;0,9;0,789473684210526;0,745454545454545;0,0013123344278079;5,09;4,94;2,38;0,96
wt;wt;MB010;0,687296416938111;0,705263157894737;0,6;0,576271186440678;0,000637973520553075;5,18;4,86;2,16;0,93
wt;wt;MB010;0,71523178807947;0,692028985507246;0,65034965034965;0,583333333333333;0,000803392465849271;5,18;4,67;2,36;1,14
ompK35;wt;MB010;0,359322033898305;0,406896551724138;0,341880341880342;0,333333333333333;0,00354674357656969;4,01;4,08;1,57;0,72
ompK35;wt;MB010;0,385350318471338;0,373801916932907;0,311111111111111;0,25;-0,00727651047690794;4,35;4,3;1,77;0,85
ompK35;wt;MB010;0,471830985915493;0,440251572327044;0,407407407407407;0,349206349206349;-0,00226405518356847;4,18;4,58;1,9;0,85
ompK35;wt;MB010;0,567213114754098;0,478927203065134;0,425675675675676;0,394736842105263;-0,00451417587748815;4,78;3,86;2,11;1,06
ompK35;wt;MB010;0,563380281690141;0,422442244224423;0,38562091503268;0,366197183098592;-0,00629546065027322;5,55;4,31;2,12;0,97
ompK35;wt;MB010;0,297587131367292;0,240687679083095;0,205128205128205;0,180851063829787;-0,0089996402159061;4,84;4,33;2,35;1,11
wt;ompK35;MB010;1,03664921465969;1,02777777777778;0,981651376146789;1,16666666666667;-0,00553057784294908;5,17;5,01;1,77;0,875
wt;ompK35;MB010;0,952380952380952;0,951219512195122;0,905982905982906;0,944444444444444;-0,00935440163000192;5,07;4,37;1,71;0,84
wt;ompK35;MB010;0,670250896057348;0,655038759689922;0,651785714285714;0,74;-0,00569595337477202;3,8;4,53;1,77;0,985
wt;ompK35;MB010;0,957364341085271;0,926940639269406;0,91869918699187;0,896551724137931;-0,0106742591077703;4,87;4,11;1,9;0,966
wt;ompK35;MB010;0,928251121076233;0,93719806763285;0,909090909090909;0,823529411764706;-0,0125116964821852;4,97;3,98;1,98;0,917
wt;ompK35;MB010;1,2;1,12565445026178;1,10752688172043;1,18181818181818;-0,00923648515274633;4,5;3,58;1,8;0,828
OXA48;wt;MB010;0,339378238341969;0,237037037037037;0,141935483870968;0,09375;-0,0361829387237904;5,11;5,4;2,22;0,996
OXA48;wt;MB010;0,323759791122715;0,230985915492958;0,132450331125828;0,0909090909090909;-0,0361257394957105;5,38;4,39;2,06;1,07
OXA48;wt;MB010;0,275167785234899;0,217741935483871;0,120253164556962;0,0824175824175824;-0,0345645747531311;5,84;4,9;2,18;0,88
